cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
UgwxsrIDeOJvBMkywsF4AaABAg,"makin hancur inonesia ini. makanya pilihlah presiden yang baik, jujur dan berkeja ikhlas dari hati, bukan bekerja dari hasutan pengikut2 yang ingin mencari kekayaan di negeri sendiri. makanya hey rakyat indonesia,sadarlah, jangan karena serangan fajar 10 ribu rupiah anda merubah pilihan anda untuk pemimpin negara 5 tahun kedepan. makanya jadilah rakyat yang cerdas, jangan bodoh2 amat yang karena uang 10 ribu kehidupan ekonomi anda selama 5 tahun kedepan terombang ambing di bawah kehancuran dan cekaman para tikus berdasi indonesia.",1 month ago,@padangkota8278,UCnwI2rWqfB3qdfryTIAH6uA,0,,https://yt3.ggpht.com/ytc/AIdro_nusKmZATTFepe_OlKa8JyO-6iYOa1X47MpI9Y2RzmxHnb3yNgJRjgNAhXoZlMjqL8eQA=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.040749,
UgwFzHgtxbfU6Pym0jx4AaABAg,Lihat filmnya dimana?,1 month ago,@ZakiyyahAbidin,UCRc8ZfjcBjlRxy0VOOWjpSg,0,,https://yt3.ggpht.com/ytc/AIdro_l4i_SQyTaWwqizO7ZDO2xVcpUIrh8Qc-bYdHD-cyfxoAfQr-PBEHJSYEj8OA8v13zwVw=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.044716,
UgwhSN20pirCLbrQ6lV4AaABAg,"Ya Allah, indonesia makin hari makin parah.",1 month ago,@AdeevaAyudia-c5i,UCcbM3xHwyfCKjt8nd8I0T8A,0,,https://yt3.ggpht.com/ONU-g9yx2JVppkxmzfaWsI7FX1cT0cMzLgpheHh63ni8qrsZmB1O37Yn9cTitrde-vKw8h2IxV0=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.04966,
UgxQMlbMDQ2EWC4EBgN4AaABAg,"Binatang pemerintah yang menggaruk habis hak termasuk tanah dan lahan rakyatnya hanya krna keserakahan semata . Utang trus yg kalian tingkatkan , rakyat tidak sejahtera sama skali . Biadab",1 month ago,@wahyudirusdi1757,UCy_0ZM5688DjrzOSa1iNYJA,1,,https://yt3.ggpht.com/ytc/AIdro_leiD5UxzclXEoDfKMyh3Tai8L_FPhLF5RwzOfGWCxTAA=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.056059,
UgwSbQy90ckGfHD15vh4AaABAg,"Film ini bener bener the real horor sesungguhnya. Saking horornya belum tayang di bioskop ajah udah diboikot sama pemerintah😑 film jelek kaya merah putih one for all ajah yg udah dikecam sama semua netizen ajah masih ditayangin sedangkan film ini yg bener bener bagus angkat permasalahan yang ada di indonesia malah diboikot nggak fair 😑 emang paling bahaya kalau bikin film indo tentang permasalahan politik, daerah, korupsi, isu politik, agama",1 month ago,@sanadeh,UCAd0x9MdBSVYXtdmP1LyfNQ,0,,https://yt3.ggpht.com/ytc/AIdro_miF8x8XG_D8Vrgsk1zX1uTpZBG3sXh6tEjd8X5tJDH2RgR6mec5Q13ZETo_U-sNFQYDA=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.060432,
UgxZSozEKJ5us5fQxcB4AaABAg,"Jelas ini adalah penjajahan modern, papua bernasib sama seperti GAZA PALESTINA 😢",1 month ago,@mobascientist8979,UC1_sM3cZd5d35f44FxCkzfQ,0,,https://yt3.ggpht.com/ytc/AIdro_lATTjxziOKHBWIc_ImunuaIf5zYj-a9wxrRuCsOkbuxQ=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.065749,
Ugw1Z839sTZG7-TiAEV4AaABAg,Mnding kita bubar sajah lah ... indonesia ini mnyusah kn rzkyat sajalh😊,1 month ago,@adamseptian9467,UCo3-ELia1QpqSyYNcRqYAIg,0,,https://yt3.ggpht.com/XR24-GXbQgd7AQlB8R6AzcQVoLw2ki5905Vll6NFC6LBhZkhRR_Ps6B4aFJ-nEux4mTEdNyymCU=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.070022,
Ugwzq4EEgG5Ovhddu2d4AaABAg,Lepas Dari Indonesia Papua merdeka udahhhhh,1 month ago,@mirzaftr,UCCYQUT4bJLQOV8hlwK7UIYQ,0,,https://yt3.ggpht.com/dC6cepPG4Es49BtawXcLVvqsKi8q0q8SHJNJOf6kZrSUSvd44WdYY0yCXyghakczH038ZPGrubE=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.074743,
UgyHD_8R1LkohzA48Pp4AaABAg,Negara lagi krisis pemikiran .sedangkan korupsi merajalela,1 month ago,@BechengGeboOfficial02,UCzhvIoNcbDknZhdtKlkwQpg,0,,https://yt3.ggpht.com/mAJhEWrCXrTQrksH-BVqsD1n-8uGHiYxm-Xpj3DLFZSLMYDnuFKmx8rt6zx431gwwwcE3QFfaz4=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.079605,
UgwVbNt9Hl7J5GTO0oN4AaABAg,"papua berkembang dengan cara unik mereka bukan pola pikir pemimpin indonesia , we stand rakyat papua ❤😢",1 month ago,@rezekipadillah6249,UCNlFO0ctzlAZlKVAkMLkinQ,0,,https://yt3.ggpht.com/ytc/AIdro_k0G830XWcjSfAWdc_XTsVlONMMZio5IongR0e-KYCRpls=s88-c-k-c0x00ffffff-no-rj,False,False,1778999582.085207,
