Date,Forecast_Qty,Forecast_Revenue
2017-08-01,593269.0,18318378748.0
2017-09-01,762137.0,18683410029.0
2017-10-01,640367.0,19080496931.0
2017-11-01,725123.0,19990809652.0
2017-12-01,902202.0,23535180360.0
2018-01-01,1240591.0,19851469129.0
2018-02-01,810092.0,19424657222.0
2018-03-01,655025.0,20778223049.0
2018-04-01,661295.0,20352295226.0
2018-05-01,856348.0,21985019817.0
2018-06-01,942223.0,24592765035.0
2018-07-01,1093204.0,26822964180.0
